"icb22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"E54000040",25706,7170,8454,2070,0.28,0.24,"April 2022"
"E54000024",32485,2099,8201,373,0.06,0.05,"April 2022"
"E54000055",51994,15124,14353,4983,0.29,0.35,"April 2022"
"E54000039",27466,9405,8550,2720,0.34,0.32,"April 2022"
"E54000044",43735,12409,15646,1804,0.28,0.12,"April 2022"
"E54000056",30907,6894,7433,2261,0.22,0.3,"April 2022"
"E54000008",121022,33535,26282,6966,0.28,0.27,"April 2022"
"E54000036",14983,3462,2907,1097,0.23,0.38,"April 2022"
"E54000018",34231,10652,9000,2299,0.31,0.26,"April 2022"
"E54000050",127103,26245,36259,6326,0.21,0.17,"April 2022"
"E54000037",37574,8342,10917,2465,0.22,0.23,"April 2022"
"E54000041",19178,1907,19178,1199,0.1,0.06,"April 2022"
"E54000029",78541,22896,13061,5258,0.29,0.4,"April 2022"
"E54000034",22797,0,5330,1718,0,0.32,"April 2022"
"E54000043",15697,5293,3407,1069,0.34,0.31,"April 2022"
"E54000057",112608,41289,29119,10467,0.37,0.36,"April 2022"
"E54000042",55218,9440,15598,3281,0.17,0.21,"April 2022"
"E54000048",62725,15164,15203,5348,0.24,0.35,"April 2022"
"E54000019",22868,7913,5936,1836,0.35,0.31,"April 2022"
"E54000025",43138,14391,8535,2124,0.33,0.25,"April 2022"
"E54000051",55092,17757,14019,4827,0.32,0.34,"April 2022"
"E54000058",45202,12607,8797,2377,0.28,0.27,"April 2022"
"E54000032",78681,17976,17824,4475,0.23,0.25,"April 2022"
"E54000015",31576,9612,7394,2226,0.3,0.3,"April 2022"
"E54000013",23671,6380,4527,2016,0.27,0.45,"April 2022"
"E54000026",31318,10352,9585,2653,0.33,0.28,"April 2022"
"E54000022",32104,10196,8156,3551,0.32,0.44,"April 2022"
"E54000028",67867,19318,8808,3609,0.28,0.41,"April 2022"
"E54000027",97069,10597,15736,4215,0.11,0.27,"April 2022"
"E54000059",27364,3868,5076,1871,0.14,0.37,"April 2022"
"E54000060",35489,3577,10474,2263,0.1,0.22,"April 2022"
"E54000030",77671,18905,13274,3960,0.24,0.3,"April 2022"
"E54000011",14863,5198,4505,2634,0.35,0.58,"April 2022"
"E54000038",19871,4278,4389,739,0.22,0.17,"April 2022"
"E54000031",56055,13413,9500,3234,0.24,0.34,"April 2022"
"E54000061",54800,12559,15937,3773,0.23,0.24,"April 2022"
"E54000010",20844,7809,6925,1768,0.37,0.26,"April 2022"
"E54000023",30488,5901,7688,1742,0.19,0.23,"April 2022"
"E54000052",33589,9104,7873,1989,0.27,0.25,"April 2022"
"E54000053",55624,15864,11631,2824,0.29,0.24,"April 2022"
"E54000062",77429,17076,17602,3956,0.22,0.22,"April 2022"
"E54000054",82153,17771,18705,5238,0.22,0.28,"April 2022"
"E54000040",28288,7567,9287,1439,0.27,0.15,"May 2022"
"E54000024",39624,2717,8328,640,0.07,0.08,"May 2022"
"E54000055",55734,16185,15654,4669,0.29,0.3,"May 2022"
"E54000039",33718,9192,9636,2211,0.27,0.23,"May 2022"
"E54000044",48690,12389,16847,1423,0.25,0.08,"May 2022"
"E54000056",35137,8410,8082,2120,0.24,0.26,"May 2022"
"E54000008",127988,36025,29049,7800,0.28,0.27,"May 2022"
"E54000036",16578,3373,2957,1068,0.2,0.36,"May 2022"
"E54000018",37300,10549,9829,1914,0.28,0.19,"May 2022"
"E54000050",138462,26786,38073,5852,0.19,0.15,"May 2022"
"E54000037",40777,9226,11853,2337,0.23,0.2,"May 2022"
"E54000041",20485,1973,8116,1029,0.1,0.13,"May 2022"
"E54000029",87298,27486,13639,5664,0.31,0.42,"May 2022"
"E54000034",25379,0,5943,1527,0,0.26,"May 2022"
"E54000043",17684,5635,4012,1069,0.32,0.27,"May 2022"
"E54000057",122749,42975,30146,9172,0.35,0.3,"May 2022"
"E54000042",61975,9847,16343,3001,0.16,0.18,"May 2022"
"E54000048",69739,16096,16696,5009,0.23,0.3,"May 2022"
"E54000019",24973,8346,6421,1799,0.33,0.28,"May 2022"
"E54000025",47215,16482,9108,2430,0.35,0.27,"May 2022"
"E54000051",60692,18364,16451,4645,0.3,0.28,"May 2022"
"E54000058",48795,12551,9331,1635,0.26,0.18,"May 2022"
"E54000032",88057,18830,19649,4027,0.21,0.2,"May 2022"
"E54000015",34015,10690,7797,2519,0.31,0.32,"May 2022"
"E54000013",25823,6972,4766,2103,0.27,0.44,"May 2022"
"E54000026",34324,10782,10372,2346,0.31,0.23,"May 2022"
"E54000022",35922,11705,8861,4706,0.33,0.53,"May 2022"
"E54000028",75335,21744,9466,3669,0.29,0.39,"May 2022"
"E54000027",108616,11841,17058,3948,0.11,0.23,"May 2022"
"E54000059",30189,4248,5559,1808,0.14,0.33,"May 2022"
"E54000060",39526,3916,11192,2114,0.1,0.19,"May 2022"
"E54000030",85553,22368,13794,4190,0.26,0.3,"May 2022"
"E54000011",16643,5648,4832,2213,0.34,0.46,"May 2022"
"E54000038",21783,4533,5117,524,0.21,0.1,"May 2022"
"E54000031",61543,14053,9776,3201,0.23,0.33,"May 2022"
"E54000061",60044,13414,17081,3461,0.22,0.2,"May 2022"
"E54000010",23054,8636,7439,1792,0.37,0.24,"May 2022"
"E54000023",32781,5517,8361,1271,0.17,0.15,"May 2022"
"E54000052",36154,10414,9180,2114,0.29,0.23,"May 2022"
"E54000053",61394,16565,12966,2465,0.27,0.19,"May 2022"
"E54000062",82986,18706,18534,3527,0.23,0.19,"May 2022"
"E54000054",90031,18933,20110,4867,0.21,0.24,"May 2022"
"E54000040",27991,7601,9037,1482,0.27,0.16,"June 2022"
"E54000024",39836,2411,8106,494,0.06,0.06,"June 2022"
"E54000055",54283,16448,14835,9496,0.3,0.64,"June 2022"
"E54000039",31920,9827,8906,2656,0.31,0.3,"June 2022"
"E54000044",48253,13512,16465,1757,0.28,0.11,"June 2022"
"E54000056",33990,8173,7905,2119,0.24,0.27,"June 2022"
"E54000008",123811,34550,27663,7604,0.28,0.27,"June 2022"
"E54000036",17213,3809,3072,1089,0.22,0.35,"June 2022"
"E54000018",36123,10643,9675,2016,0.29,0.21,"June 2022"
"E54000050",136393,27596,37039,6339,0.2,0.17,"June 2022"
"E54000037",40058,9650,11339,2562,0.24,0.23,"June 2022"
"E54000041",21342,2062,7560,952,0.1,0.13,"June 2022"
"E54000029",86187,27328,13103,5380,0.32,0.41,"June 2022"
"E54000034",24738,0,6051,1404,0,0.23,"June 2022"
"E54000043",17408,4983,4009,1074,0.29,0.27,"June 2022"
"E54000057",119092,44021,29817,10037,0.37,0.34,"June 2022"
"E54000042",61089,9880,15939,3119,0.16,0.2,"June 2022"
"E54000048",68675,15333,16499,4654,0.22,0.28,"June 2022"
"E54000019",23895,8633,6248,1918,0.36,0.31,"June 2022"
"E54000025",45644,15808,8834,2051,0.35,0.23,"June 2022"
"E54000051",59553,18339,15906,4711,0.31,0.3,"June 2022"
"E54000058",48868,13391,9286,1814,0.27,0.2,"June 2022"
"E54000032",86919,18564,18766,4076,0.21,0.22,"June 2022"
"E54000015",33861,10511,7708,2365,0.31,0.31,"June 2022"
"E54000013",25575,6980,4620,1935,0.27,0.42,"June 2022"
"E54000026",32903,10486,9879,2224,0.32,0.23,"June 2022"
"E54000022",34846,11658,8428,3458,0.33,0.41,"June 2022"
"E54000028",73557,22940,8931,3665,0.31,0.41,"June 2022"
"E54000027",107079,11826,16860,3898,0.11,0.23,"June 2022"
"E54000059",29477,3952,5390,1906,0.13,0.35,"June 2022"
"E54000060",38362,4269,10744,2225,0.11,0.21,"June 2022"
"E54000030",83307,21848,13362,4965,0.26,0.37,"June 2022"
"E54000011",16324,6069,4703,1676,0.37,0.36,"June 2022"
"E54000038",22074,4760,4939,592,0.22,0.12,"June 2022"
"E54000031",60314,14808,9669,3125,0.25,0.32,"June 2022"
"E54000061",58149,13893,16497,3687,0.24,0.22,"June 2022"
"E54000010",22553,8484,7546,1666,0.38,0.22,"June 2022"
"E54000023",32733,6272,8206,1423,0.19,0.17,"June 2022"
"E54000052",35941,10984,9270,1718,0.31,0.19,"June 2022"
"E54000053",60573,15692,12662,2298,0.26,0.18,"June 2022"
"E54000062",82444,19098,18079,3634,0.23,0.2,"June 2022"
"E54000054",88338,19309,19495,5093,0.22,0.26,"June 2022"
"E54000040",28149,8124,9137,1749,0.29,0.19,"July 2022"
"E54000024",39045,2852,8172,986,0.07,0.12,"July 2022"
"E54000055",51464,17048,14506,4801,0.33,0.33,"July 2022"
"E54000039",32896,11078,9115,2912,0.34,0.32,"July 2022"
"E54000044",47309,13917,16348,2142,0.29,0.13,"July 2022"
"E54000056",31991,8754,7697,2595,0.27,0.34,"July 2022"
"E54000008",124630,36052,27143,8506,0.29,0.31,"July 2022"
"E54000036",18188,4074,3087,1169,0.22,0.38,"July 2022"
"E54000018",35900,10441,9136,2070,0.29,0.23,"July 2022"
"E54000050",136789,28690,36982,6426,0.21,0.17,"July 2022"
"E54000037",41192,10444,11061,3006,0.25,0.27,"July 2022"
"E54000041",21850,2091,7467,1019,0.1,0.14,"July 2022"
"E54000029",83787,27683,13292,5618,0.33,0.42,"July 2022"
"E54000034",23965,0,4354,1771,0,0.41,"July 2022"
"E54000043",18057,5550,3956,1138,0.31,0.29,"July 2022"
"E54000057",118586,44260,28915,10090,0.37,0.35,"July 2022"
"E54000042",61617,11445,16098,3507,0.19,0.22,"July 2022"
"E54000048",69123,15829,15845,5101,0.23,0.32,"July 2022"
"E54000019",23939,8698,6419,1653,0.36,0.26,"July 2022"
"E54000025",45063,16156,8826,2744,0.36,0.31,"July 2022"
"E54000051",61727,19345,16273,4815,0.31,0.3,"July 2022"
"E54000058",48504,13149,9086,1905,0.27,0.21,"July 2022"
"E54000032",88077,19950,18199,4202,0.23,0.23,"July 2022"
"E54000015",31832,9526,7275,2311,0.3,0.32,"July 2022"
"E54000013",26749,7489,4842,2008,0.28,0.41,"July 2022"
"E54000026",32673,11009,9849,2309,0.34,0.23,"July 2022"
"E54000022",35504,12303,8580,3906,0.35,0.46,"July 2022"
"E54000028",71282,22837,8907,4081,0.32,0.46,"July 2022"
"E54000027",105536,11986,16676,4529,0.11,0.27,"July 2022"
"E54000059",29923,4107,5530,2044,0.14,0.37,"July 2022"
"E54000060",38414,4191,11018,2229,0.11,0.2,"July 2022"
"E54000030",80290,22266,13126,4366,0.28,0.33,"July 2022"
"E54000011",16386,6330,4578,1727,0.39,0.38,"July 2022"
"E54000038",22300,5250,4874,660,0.24,0.14,"July 2022"
"E54000031",59307,14693,9472,3609,0.25,0.38,"July 2022"
"E54000061",58282,13496,16874,3456,0.23,0.2,"July 2022"
"E54000010",22131,8039,7253,1735,0.36,0.24,"July 2022"
"E54000023",33742,5925,8083,1945,0.18,0.24,"July 2022"
"E54000052",34629,11662,9126,2519,0.34,0.28,"July 2022"
"E54000053",61964,18416,12120,2672,0.3,0.22,"July 2022"
"E54000062",80472,18823,17760,4348,0.23,0.24,"July 2022"
"E54000054",88391,19472,20042,5440,0.22,0.27,"July 2022"
"E54000040",26516,7593,8781,1733,0.29,0.2,"August 2022"
"E54000024",35447,2602,7601,774,0.07,0.1,"August 2022"
"E54000055",46916,14687,14483,4456,0.31,0.31,"August 2022"
"E54000039",28709,9215,9204,2672,0.32,0.29,"August 2022"
"E54000044",38848,11371,15994,1943,0.29,0.12,"August 2022"
"E54000056",31035,7494,6811,2415,0.24,0.35,"August 2022"
"E54000008",117650,32340,27119,7857,0.27,0.29,"August 2022"
"E54000036",18862,4469,3035,1111,0.24,0.37,"August 2022"
"E54000018",31441,9811,9002,1794,0.31,0.2,"August 2022"
"E54000050",127433,26568,35194,6633,0.21,0.19,"August 2022"
"E54000037",39030,10341,11366,3275,0.26,0.29,"August 2022"
"E54000041",21264,2046,6992,1093,0.1,0.16,"August 2022"
"E54000029",74668,22592,12490,5680,0.3,0.45,"August 2022"
"E54000034",21877,0,4198,1518,0,0.36,"August 2022"
"E54000043",17786,5078,3596,1063,0.29,0.3,"August 2022"
"E54000057",107663,39999,27646,10411,0.37,0.38,"August 2022"
"E54000042",59018,8981,15971,3127,0.15,0.2,"August 2022"
"E54000048",65302,15525,15424,5421,0.24,0.35,"August 2022"
"E54000019",22992,8699,6260,1794,0.38,0.29,"August 2022"
"E54000025",42842,14531,8835,2409,0.34,0.27,"August 2022"
"E54000051",57402,18308,15117,4586,0.32,0.3,"August 2022"
"E54000058",43184,12400,8693,1990,0.29,0.23,"August 2022"
"E54000032",82118,16962,18037,4188,0.21,0.23,"August 2022"
"E54000015",30931,9131,7420,2301,0.3,0.31,"August 2022"
"E54000013",24928,7029,4670,2180,0.28,0.47,"August 2022"
"E54000026",30370,10537,9636,2293,0.35,0.24,"August 2022"
"E54000022",34874,11514,8488,3590,0.33,0.42,"August 2022"
"E54000028",62094,17968,8586,3663,0.29,0.43,"August 2022"
"E54000027",76328,8456,16025,3693,0.11,0.23,"August 2022"
"E54000059",26426,3539,5135,2111,0.13,0.41,"August 2022"
"E54000060",35843,3931,10547,1906,0.11,0.18,"August 2022"
"E54000030",71854,19831,12852,4030,0.28,0.31,"August 2022"
"E54000011",14914,5607,4298,1714,0.38,0.4,"August 2022"
"E54000038",21387,5071,4962,844,0.24,0.17,"August 2022"
"E54000031",53035,12256,8808,3273,0.23,0.37,"August 2022"
"E54000061",53617,12053,16270,3556,0.22,0.22,"August 2022"
"E54000010",21415,7474,7320,1641,0.35,0.22,"August 2022"
"E54000023",31572,5885,7981,1588,0.19,0.2,"August 2022"
"E54000052",32951,10446,9194,2195,0.32,0.24,"August 2022"
"E54000053",59736,16970,11422,2751,0.28,0.24,"August 2022"
"E54000062",73608,16424,17490,3735,0.22,0.21,"August 2022"
"E54000054",81793,17738,19056,5141,0.22,0.27,"August 2022"
"E54000040",27073,8132,8888,1878,0.3,0.21,"September 2022"
"E54000024",35280,2554,7587,795,0.07,0.1,"September 2022"
"E54000055",47793,15407,14796,4515,0.32,0.31,"September 2022"
"E54000039",28658,9701,9562,2682,0.34,0.28,"September 2022"
"E54000044",40780,13267,16032,2082,0.33,0.13,"September 2022"
"E54000056",32154,6289,7689,2417,0.2,0.31,"September 2022"
"E54000008",116622,33107,27377,8516,0.28,0.31,"September 2022"
"E54000036",15844,3762,2937,1153,0.24,0.39,"September 2022"
"E54000018",32728,9602,9053,1546,0.29,0.17,"September 2022"
"E54000050",124713,26838,35939,6534,0.22,0.18,"September 2022"
"E54000037",36170,9608,10934,3082,0.27,0.28,"September 2022"
"E54000041",19766,2077,7160,1274,0.11,0.18,"September 2022"
"E54000029",77171,23219,13276,5730,0.3,0.43,"September 2022"
"E54000034",22208,0,4418,1465,0,0.33,"September 2022"
"E54000043",17453,4996,3353,976,0.29,0.29,"September 2022"
